Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
Bitcicoin (BITCI),$0.002203,-0.44%,+1.99%,-7.56%,"$17,072,464","$265,352 (120,469,426 BITCI)","7,750,149,648 BITCI"
AMO Coin (AMO),$0.0008103,+0.30%,+6.89%,+0.93%,"$17,055,964","$97,483 (120,306,457 AMO)","21,018,347,083 AMO"
Tranchess (CHESS),$0.175,-0.14%,+0.54%,-10.52%,"$16,963,362","$1,092,328 (6,241,352 CHESS)","96,876,810 CHESS"
Venus XVS (vXVS),$0.07548,-0.12%,+0.80%,-8.15%,"$16,935,462","$21,482 (284,599 VXVS)","224,433,925 vXVS"
KILT Protocol (KILT),$0.3421,-0.34%,+16.61%,-0.87%,"$16,897,608","$234,659 (686,003 KILT)","49,420,140 KILT"
MEVerse (MEV),$0.01,+0.66%,+0.92%,-11.96%,"$16,665,820","$271,745 (27,174,056 MEV)","1,685,645,035 MEV"
RMRK (RMRK),$1.77,-0.93%,-0.10%,-4.58%,"$16,876,488","$70,132 (39,727 RMRK)","9,500,000 RMRK"
BurgerCities (BURGER),$0.5093,-0.01%,-0.37%,-13.14%,"$16,751,079","$2,089,958 (4,103,241 BURGER)","32,884,000 BURGER"
dForce (DF),$0.03855,-0.32%,+0.36%,-11.96%,"$16,657,075","$1,093,589 (28,369,245 DF)","432,032,332 DF"
MANTRA (OM),$0.02897,-0.09%,-0.51%,-11.69%,"$16,635,735","$1,388,366 (47,929,557 OM)","573,910,014 OM"
Syntropy (NOIA),$0.02591,-0.08%,+0.33%,-9.24%,"$16,465,041","$536,720 (20,714,255 NOIA)","635,162,595 NOIA"
MAP Protocol (MAP),$0.007792,+0.94%,-0.30%,-2.11%,"$16,410,678","$156,122 (20,034,025 MAP)","2,105,183,690 MAP"
AhaToken (AHT),$0.004751,-0.10%,-0.43%,-7.53%,"$16,396,636","$542,267 (114,135,943 AHT)","3,452,205,898 AHT"
Chimpion (BNANA),$0.5168,-3.38%,+1.04%,-17.65%,"$16,394,383","$81,627 (157,948 BNANA)","31,727,387 BNANA"
BitMart Token (BMX),$0.0939,-0.09%,-0.03%,+0.62%,"$16,311,135","$2,255,244 (24,019,384 BMX)","173,717,945 BMX"
Phantasma (SOUL),$0.1497,+0.07%,-7.05%,-5.14%,"$16,123,806","$151,179 (1,010,137 SOUL)","107,816,968 SOUL"
Wing Finance (WING),$5.32,-0.01%,-1.52%,-13.82%,"$16,133,735","$885,878 (166,399 WING)","3,030,066 WING"
Gifto (GTO),$0.01602,-1.54%,+0.90%,-7.46%,"$16,010,534","$2,250,796 (140,480,761 GTO)","999,271,532 GTO"
Aleph.im (ALEPH),$0.06432,+0.03%,-0.90%,-10.16%,"$15,886,805","$207,771 (3,230,077 ALEPH)","247,220,482 ALEPH"
Waltonchain (WTC),$0.1935,+0.23%,-0.34%,-6.22%,"$15,773,616","$244,674 (1,264,441 WTC)","81,513,768 WTC"
Beam (BEAM),$0.1198,-0.55%,+0.11%,-4.65%,"$15,586,193","$1,568,906 (13,074,816 BEAM)","130,107,840 BEAM"
Pluton (PLU),$8.43,+0.37%,-0.24%,-2.40%,"$15,620,294","$225,109 (26,724 PLU)","1,852,000 PLU"
LATOKEN (LA),$0.04098,-0.04%,+0.63%,-13.58%,"$15,577,242","$579 (14,118 LA)","380,105,462 LA"
AirSwap (AST),$0.08888,-0.33%,-2.99%,-6.00%,"$15,507,736","$263,693 (2,959,017 AST)","174,479,533 AST"
Kleros (PNK),$0.02305,-0.49%,-1.14%,+3.24%,"$15,486,969","$466,766 (20,212,291 PNK)","671,793,467 PNK"
Kin (KIN),$0.000007298,-0.85%,-4.57%,-19.26%,"$15,452,148","$304,073 (41,616,697,452 KIN)","2,117,205,856,150 KIN"
Pitbull (PIT),$0.0...03807,-0.64%,-1.97%,-6.63%,"$15,302,466","$543,819 (1,428,093,339,859,014 PIT)","40,192,158,063,660,000 PIT"
Frontier (FRONT),$0.1698,-0.16%,+0.72%,-11.42%,"$15,282,052","$1,387,866 (8,172,292 FRONT)","90,000,000 FRONT"
Frontier (FRONT),$0.1698,-0.16%,+0.72%,-11.42%,"$15,281,465","$1,387,866 (8,173,824 FRONT)","90,000,000 FRONT"
Student Coin (STC),$0.002856,-0.09%,-0.54%,+10.88%,"$15,202,499","$87,576 (30,666,774 STC)","5,322,747,502 STC"
Goldfinch (GFI),$0.5217,-0.30%,-2.89%,-8.31%,"$15,211,580","$146,994 (281,782 GFI)","29,135,286 GFI"
rhino.fi (DVF),$0.6276,+0.03%,+0.01%,+3.02%,"$15,152,696","$125,342 (199,706 DVF)","24,147,148 DVF"
SelfKey (KEY),$0.002844,+0.00%,-3.24%,-16.87%,"$15,088,388","$917,092 (322,502,702 KEY)","5,304,969,446 KEY"
Aion (AION),$0.03007,+0.02%,-2.91%,-9.02%,"$15,071,794","$605,815 (20,144,107 AION)","501,505,081 AION"
Particl (PART),$1.18,+0.01%,-2.62%,+3.20%,"$14,964,557","$6,976 (5,920 PART)","12,698,310 PART"
Yield App (YLD),$0.07433,+0.01%,-1.44%,-4.21%,"$14,938,263","$107,188 (1,442,023 YLD)","200,910,838 YLD"
Decentral Games (DG),$0.02446,-0.35%,-0.75%,-4.44%,"$14,794,653","$269,068 (11,002,033 DG)","604,302,025 DG"
AirDAO (AMB),$0.01213,-0.45%,+1.22%,-7.25%,"$14,611,034","$1,471,572 (121,286,343 AMB)","1,204,349,526 AMB"
StaFi (FIS),$0.2397,-0.14%,+0.01%,-13.21%,"$14,488,736","$812,907 (3,390,934 FIS)","60,452,000 FIS"
BIDR (BIDR),$0.00006406,+0.01%,-0.03%,+0.07%,"$14,462,090","$15,483,380 (241,688,686,076 BIDR)","225,715,436,474 BIDR"
Karura (KAR),$0.1916,-0.29%,+0.97%,-8.79%,"$14,379,190","$335,986 (1,753,680 KAR)","75,086,111 KAR"
Maple (MPL),$3.26,-0.39%,-8.33%,-15.90%,"$14,361,665","$376,492 (115,663 MPL)","4,417,986 MPL"
Circuits of Value (COVAL),$0.008049,+0.24%,-5.41%,-11.34%,"$14,385,936","$291,368 (36,199,551 COVAL)","1,785,356,734 COVAL"
DEXTools (DEXT),$0.1472,-0.45%,-0.37%,-1.68%,"$14,358,808","$305,375 (2,074,121 DEXT)","97,477,690 DEXT"
Tokemak (TOKE),$0.8762,-0.03%,-1.88%,-8.97%,"$14,303,281","$127,617 (145,653 TOKE)","16,314,929 TOKE"
Namecoin (NMC),$0.9681,+0.44%,+1.27%,-3.38%,"$14,205,246","$21,183 (21,882 NMC)","14,736,400 NMC"
Petals (PTS),$0.00148,-0.41%,+0.26%,-10.37%,"$14,265,787","$12,056 (8,146,635 PTS)","9,624,978,750 PTS"
Voxies (VOXEL),$0.1553,-0.35%,-2.41%,-18.97%,"$14,160,876","$2,333,198 (15,022,105 VOXEL)","91,186,289 VOXEL"
Dora Factory (DORA),$3.06,-0.40%,-0.71%,-4.22%,"$14,120,593","$470,601 (153,607 DORA)","4,613,632 DORA"
Viberate (VIB),$0.07072,-0.84%,+0.19%,-10.80%,"$14,117,735","$2,373,703 (33,564,585 VIB)","199,635,000 VIB"
Presearch (PRE),$0.03557,-0.31%,+0.35%,-1.74%,"$14,125,047","$70,268 (1,975,462 PRE)","396,578,435 PRE"
Measurable Data Token (MDT),$0.02078,-0.46%,-2.23%,-8.79%,"$14,045,137","$578,121 (27,816,744 MDT)","676,157,013 MDT"
Handshake (HNS),$0.02521,-0.00%,+0.81%,+0.71%,"$13,976,585","$36,245 (1,437,929 HNS)","554,742,667 HNS"
RIZON (ATOLO),$0.007226,-0.55%,+3.96%,-1.63%,"$13,972,436","$347,860 (48,137,374 ATOLO)","1,933,288,718 ATOLO"
Artificial Liquid Intelligence (ALI),$0.008655,+0.23%,+1.06%,-12.93%,"$13,909,058","$73,221 (8,460,044 ALI)","1,606,511,091 ALI"
Polkadex (PDEX),$1.66,+6.33%,+13.87%,+25.70%,"$13,906,489","$180,298 (108,570 PDEX)","8,360,000 PDEX"
Bonfida (FIDA),$0.31,-0.04%,+0.98%,-9.29%,"$13,879,401","$3,120,078 (10,065,183 FIDA)","44,729,964 FIDA"
Haven Protocol (XHV),$0.4804,+0.86%,-4.09%,+11.92%,"$13,834,853","$188,777 (392,969 XHV)","28,796,519 XHV"
apM Coin (APM),$0.01593,-0.15%,+1.98%,-2.91%,"$13,570,622","$1,678,102 (105,362,342 APM)","852,500,000 APM"
PIVX (PIVX),$0.1902,-0.37%,-4.27%,-16.91%,"$13,473,731","$298,028 (1,567,195 PIVX)","70,871,294 PIVX"
Energi (NRG),$0.2254,-0.43%,+2.91%,-8.43%,"$13,422,506","$200,514 (889,439 NRG)","59,437,377 NRG"
Metronome (MET),$0.9199,+0.00%,-0.57%,-5.14%,"$13,158,729","$12,465 (13,550 MET)","14,299,569 MET"
PARSIQ (PRQ),$0.07569,-0.67%,-3.00%,-9.14%,"$13,110,751","$795,617 (10,511,085 PRQ)","173,215,032 PRQ"
Ooki Protocol (OOKI),$0.002957,-0.16%,-0.16%,-13.54%,"$12,814,186","$1,163,388 (393,546,315 OOKI)","4,333,167,590 OOKI"
Vectorspace AI (VXV),$0.2716,+1.28%,-0.02%,-6.15%,"$12,779,216","$29,330 (107,998 VXV)","47,003,594 VXV"
MATH (MATH),$0.1112,-0.96%,+2.54%,+8.46%,"$12,715,833","$426,764 (3,834,225 MATH)","114,356,164 MATH"
Maro (MARO),$0.01684,-2.03%,-2.83%,-10.86%,"$12,727,553","$101,249 (6,013,450 MARO)","755,769,943 MARO"
Stratos (STOS),$0.6307,-0.35%,-2.82%,+10.04%,"$12,721,680","$285,399 (452,590 STOS)","20,152,153 STOS"
Obyte (GBYTE),$15.31,-0.64%,-3.67%,-7.05%,"$12,696,731","$9,820 (642 GBYTE)","829,624 GBYTE"
Bitball Treasure (BTRS),$28.20,+0.00%,-0.00%,+30.48%,"$12,690,539",$12 (0 BTRS),"450,000 BTRS"
Hydra (HYDRA),$1.48,+0.39%,-1.42%,-5.42%,"$12,741,910","$82,197 (55,887 HYDRA)","8,606,762 HYDRA"
DeRace (DERC),$0.1546,+0.15%,-0.28%,-3.37%,"$12,430,106","$583,838 (3,779,497 DERC)","80,400,000 DERC"
Highstreet (HIGH),$1.01,-0.04%,+0.30%,-14.45%,"$12,388,173","$4,669,655 (4,637,122 HIGH)","12,302,500 HIGH"
Valobit (VBIT),$0.01029,-0.16%,+6.07%,+3.06%,"$12,350,645","$6,406 (622,911 VBIT)","1,200,806,964 VBIT"
ApolloX (APX),$0.02942,+0.49%,-0.33%,-3.06%,"$12,307,362","$902,806 (30,649,617 APX)","417,773,676 APX"
Samoyedcoin (SAMO),$0.003355,+0.10%,-0.10%,-11.12%,"$12,268,856","$567,781 (169,358,656 SAMO)","3,657,134,467 SAMO"
HOPR (HOPR),$0.05707,+0.04%,-0.98%,-1.04%,"$12,142,257","$296,348 (5,193,451 HOPR)","212,755,995 HOPR"
Prosper (PROS),$0.4249,+0.22%,+0.04%,-28.36%,"$12,031,641","$2,394,614 (5,648,428 PROS)","28,335,717 PROS"
Clearpool (CPOOL),$0.03654,+0.02%,-1.65%,-9.38%,"$11,974,256","$197,004 (5,392,642 CPOOL)","327,653,931 CPOOL"
DxChain Token (DX),$0.000239,+0.08%,-0.78%,-3.84%,"$11,947,502","$16,609 (69,521,724 DX)","50,000,000,000 DX"
Dock (DOCK),$0.01433,-0.29%,-1.21%,-9.45%,"$11,827,325","$458,199 (31,987,533 DOCK)","825,231,520 DOCK"
Auto (AUTO),$222.95,-0.06%,-1.36%,-8.68%,"$11,811,715","$3,115,888 (13,993 AUTO)","53,003 AUTO"
Drep [new] (DREP),$0.2374,-0.04%,-2.58%,-17.85%,"$11,565,178","$2,456,126 (10,349,040 DREP)","48,737,500 DREP"
Solend (SLND),$0.386,-0.12%,-1.05%,+31.55%,"$11,668,209","$48,156 (125,867 SLND)","30,232,524 SLND"
MixMarvel (MIX),$0.002427,-1.41%,+0.88%,-7.79%,"$11,514,162","$472,627 (192,843,374 MIX)","4,699,943,108 MIX"
Invictus Hyperion Fund (IHF),$0.0999,+0.00%,+9.44%,+17.53%,"$11,498,171","$2,731 (27,336 IHF)","115,093,401 IHF"
Super Zero Protocol (SERO),$0.03039,+0.13%,+0.46%,-13.78%,"$11,492,983","$117,015 (3,849,254 SERO)","377,974,376 SERO"
Bloomzed Loyalty Club Ticket (BLCT),$0.3016,-0.04%,+0.04%,+6.77%,"$11,460,061","$4,820 (15,986 BLCT)","38,000,000 BLCT"
Nimiq (NIM),$0.001123,+0.09%,+4.14%,+6.66%,"$11,390,357","$161,728 (144,004,346 NIM)","10,148,242,869 NIM"
SpookySwap (BOO),$1.21,-0.28%,-0.25%,-9.02%,"$11,315,102","$348,779 (289,277 BOO)","9,390,930 BOO"
ApeSwap (BANANA),$0.05265,-0.04%,-0.75%,-9.03%,"$11,299,562","$75,918 (1,443,396 BANANA)","214,745,014 BANANA"
Shiden Network (SDN),$0.3628,-0.29%,+0.64%,-1.51%,"$11,225,693","$108,279 (298,646 SDN)","30,941,332 SDN"
SOLVE (SOLVE),$0.02324,-0.37%,+3.44%,+0.10%,"$11,221,714","$973,773 (41,899,943 SOLVE)","482,324,963 SOLVE"
DAD (DAD),$0.0208,-0.14%,-1.83%,-12.14%,"$11,245,319","$276,376 (13,284,799 DAD)","536,666,568 DAD"
Zebec Protocol (ZBC),$0.01524,+0.57%,-11.96%,-9.99%,"$11,173,161","$16,363,150 (1,073,951,165 ZBC)","732,333,103 ZBC"
Aurox (URUS),$21.27,-0.37%,-3.59%,-0.71%,"$11,104,371","$274,397 (12,902 URUS)","521,929 URUS"
Alitas (ALT),$0.1843,-0.73%,-18.89%,-4.07%,"$11,058,498","$20,497 (111,205 ALT)","60,000,000 ALT"
Assemble Protocol (ASM),$0.009085,+1.09%,+6.22%,-21.11%,"$10,905,217","$517,524 (56,964,845 ASM)","1,208,204,761 ASM"
AllianceBlock (ALBT),$0.04676,+0.12%,+2.08%,-1.27%,"$10,899,914","$230,424 (4,928,111 ALBT)","232,955,783 ALBT"
Wabi (WABI),$0.1088,-0.07%,-0.94%,-7.63%,"$10,879,554","$696,927 (6,405,478 WABI)","99,999,999 WABI"
Oxen (OXEN),$0.1771,+0.01%,-5.91%,-1.43%,"$10,836,371","$106,191 (599,772 OXEN)","61,207,470 OXEN"
BOSAGORA (BOA),$0.03454,-0.08%,+0.13%,-4.40%,"$10,830,386","$266,866 (7,725,547 BOA)","313,595,031 BOA"
Meta Apes (PEEL),$0.07161,-0.10%,+1.25%,+16.13%,"$10,772,994","$863,355 (12,055,743 PEEL)","150,666,527 PEEL"
KOK (KOK),$0.09971,-2.69%,-8.01%,-30.48%,"$10,802,574","$781,353 (7,835,985 KOK)","107,333,422 KOK"
Akropolis (AKRO),$0.002571,+0.03%,-1.36%,-7.71%,"$10,690,112","$3,254,782 (1,265,800,573 AKRO)","4,160,359,708 AKRO"
Apollo Currency (APL),$0.0005038,-0.18%,-2.94%,-5.99%,"$10,674,551","$1,199,158 (2,380,256,200 APL)","21,165,096,531 APL"
GET Protocol (GET),$0.9354,+8.91%,+37.17%,+31.39%,"$10,636,870","$201,766 (215,693 GET)","11,388,258 GET"
Shapeshift FOX Token (FOX),$0.0282,-0.32%,-0.05%,-7.92%,"$10,653,306","$94,170 (3,339,952 FOX)","377,154,162 FOX"
GALAXIA (GXA),$0.005578,+0.46%,-2.91%,-6.30%,"$10,508,087","$223,090 (39,993,080 GXA)","1,883,466,416 GXA"
district0x (DNT),$0.01748,+1.51%,-0.09%,-12.64%,"$10,499,698","$107,546 (6,154,165 DNT)","600,000,000 DNT"
Green Satoshi Token (SOL) (GST),$0.01719,-0.04%,-2.00%,-18.22%,"$10,428,424","$12,789,125 (743,931,792 GST)","606,434,949 GST"
Cryptex Finance (CTX),$2.89,-0.37%,-10.53%,+39.10%,"$10,397,869","$606,464 (209,992 CTX)","3,598,988 CTX"
PolySwarm (NCT),$0.006704,-0.23%,+1.38%,-7.28%,"$10,365,272","$325,023 (48,479,297 NCT)","1,546,457,130 NCT"
Bitcoin Standard Hashrate Token (BTCST),$0.849,+3.06%,-31.52%,-70.89%,"$10,254,064","$912,026 (1,074,216 BTCST)","12,201,402 BTCST"
Hathor (HTR),$0.04278,+0.21%,-5.48%,-20.31%,"$10,302,115","$262,966 (6,146,333 HTR)","240,976,712 HTR"
Peercoin (PPC),$0.3674,-0.10%,+1.24%,-2.11%,"$10,264,758","$3,087 (8,402 PPC)","27,923,798 PPC"
Carbon Protocol (SWTH),$0.006455,-0.36%,+1.38%,-4.37%,"$10,249,406","$16,332 (2,530,101 SWTH)","1,587,140,570 SWTH"
Shiba Predator (QOM),$0.00000001708,-0.16%,+1.52%,+2.67%,"$10,248,169","$317,845 (18,612,357,447,164 QOM)","599,886,333,333,333 QOM"
Anchor Protocol (ANC),$0.02918,-0.66%,-5.71%,-32.99%,"$10,212,150","$3,508,684 (120,247,908 ANC)","350,381,852 ANC"
Hegic (HEGIC),$0.01436,-0.79%,+0.92%,-5.43%,"$10,102,399","$70,621 (4,916,050 HEGIC)","703,727,349 HEGIC"
Callisto Network (CLO),$0.003252,+0.23%,+1.76%,-7.26%,"$10,096,288","$56,915 (17,540,665 CLO)","3,104,773,221 CLO"
OAX (OAX),$0.1294,-0.47%,-0.85%,-23.81%,"$9,971,496","$302,196 (2,331,682 OAX)","77,045,251 OAX"
EverRise (RISE),$0.0001561,+0.57%,+3.93%,-4.91%,"$9,971,135","$12,052 (77,345,905 RISE)","63,879,133,973 RISE"
SENSO (SENSO),$0.1418,-0.05%,+2.01%,+2.68%,"$9,963,702","$272,755 (1,926,394 SENSO)","70,269,127 SENSO"
SingularityDAO (SDAO),$0.1745,+0.17%,+2.05%,-14.11%,"$9,896,419","$306,095 (1,755,053 SDAO)","56,719,692 SDAO"
SIX (SIX),$0.0361,+0.18%,-5.21%,-9.61%,"$9,882,259","$89,062 (2,470,201 SIX)","273,776,596 SIX"
Kryll (KRL),$0.2555,-0.07%,-0.55%,-5.22%,"$9,821,809","$134,707 (527,496 KRL)","38,446,598 KRL"
Arcblock (ABT),$0.09933,-0.45%,-0.27%,-5.52%,"$9,789,819","$257,772 (2,595,915 ABT)","98,554,305 ABT"
BTSE (BTSE),$2.24,+0.43%,+2.43%,+1.40%,"$9,760,191",$989 (441 BTSE),"4,354,711 BTSE"
Rook (ROOK),$15.70,-0.28%,-1.86%,-10.81%,"$9,704,410","$23,259 (1,481 ROOK)","617,636 ROOK"
Zenon (ZNN),$1.52,+0.06%,+6.20%,-13.80%,"$9,635,326","$3,566 (2,349 ZNN)","6,330,750 ZNN"
Cere Network (CERE),$0.006056,+0.36%,-0.27%,+39.99%,"$9,601,976","$633,962 (104,685,176 CERE)","1,585,541,574 CERE"
AC Milan Fan Token (ACM),$2.31,-0.44%,+0.16%,-5.44%,"$9,587,043","$696,332 (301,207 ACM)","4,147,212 ACM"
Deeper Network (DPR),$0.006456,-0.20%,+1.08%,-2.81%,"$9,582,583","$2,540,639 (393,550,237 DPR)","1,483,561,160 DPR"
Rai Reflex Index (RAI),$2.80,-0.05%,-1.39%,-0.33%,"$9,572,341","$304,638 (108,641 RAI)","3,414,976 RAI"
BitKan (KAN),$0.001003,+0.26%,-0.19%,-8.54%,"$9,567,471","$78,455 (78,256,854 KAN)","9,547,023,075 KAN"
ForTube (FOR),$0.01488,+0.12%,+0.20%,-7.59%,"$9,514,285","$1,419,595 (95,423,423 FOR)","639,520,000 FOR"
BabySwap (BABY),$0.02813,+0.03%,-0.72%,-8.85%,"$9,499,440","$387,665 (13,782,483 BABY)","337,499,760 BABY"
Pintu Token (PTU),$0.406,+0.50%,+0.74%,-1.93%,"$9,485,304","$5,937 (14,623 PTU)","23,362,132 PTU"
TE-FOOD (TONE),$0.01589,-0.20%,-0.92%,-2.52%,"$9,381,326","$38,996 (2,454,347 TONE)","590,833,686 TONE"
Vertcoin (VTC),$0.1423,+0.52%,-3.89%,-3.51%,"$9,352,667","$69,244 (486,587 VTC)","65,728,947 VTC"
Mancium (MANC),$0.9218,+0.01%,+0.05%,+1.55%,"$9,218,353","$452,696 (491,082 MANC)","10,000,000 MANC"
Zus (ZCN),$0.1891,-0.26%,+5.48%,-20.05%,"$9,148,160","$19,739 (104,361 ZCN)","48,400,982 ZCN"
MILC Platform (MLT),$0.07354,+0.01%,-2.83%,-23.44%,"$9,168,582","$457,842 (6,225,943 MLT)","124,423,461 MLT"
Gelato (GEL),$0.1466,-0.26%,-2.54%,-14.22%,"$9,140,696","$141,170 (gel962,745)","62,382,201 GEL"
Pendle (PENDLE),$0.04739,-0.26%,+2.53%,-8.86%,"$9,087,876","$119,406 (2,519,436 PENDLE)","191,889,450 PENDLE"
Cratos (CRTS),$0.0001839,+0.11%,+3.61%,+2.50%,"$9,090,370","$853,578 (4,640,297,797 CRTS)","49,299,676,745 CRTS"
DerivaDAO (DDX),$0.3474,+0.04%,-0.07%,-14.08%,"$9,065,401","$20,729 (59,668 DDX)","26,094,664 DDX"
ERC20 (ERC20),$0.00799,+0.06%,+0.69%,+2.96%,"$9,027,272","$34 (4,310 ERC20)","1,128,632,512 ERC20"
Juventus Fan Token (JUV),$2.63,-0.18%,-1.10%,-7.53%,"$8,953,145","$799,357 (303,580 JUV)","3,399,823 JUV"
UniLend (UFT),$0.2868,-0.23%,+2.09%,-11.14%,"$8,901,539","$3,544,418 (12,357,997 UFT)","31,052,564 UFT"
Galatasaray Fan Token (GAL),$2.17,+4.33%,+3.57%,+16.97%,"$8,877,133","$1,206,047 (555,410 GAL)","4,094,238 GAL"
XDEFI Wallet (XDEFI),$0.1096,-1.42%,+1.64%,-3.75%,"$8,829,711","$636,529 (5,806,278 XDEFI)","80,606,521 XDEFI"
Dvision Network (DVI),$0.01648,+0.04%,-0.35%,-9.12%,"$8,825,425","$563,442 (34,193,317 DVI)","534,296,290 DVI"
Somnium Space Cubes (CUBE),$0.7034,-0.62%,+0.93%,-12.62%,"$8,786,153","$61,340 (87,199 CUBE)","12,500,000 CUBE"
Sperax (SPA),$0.005618,-0.64%,-1.96%,-10.73%,"$8,753,148","$145,484 (25,893,933 SPA)","1,561,097,865 SPA"
ZKSpace (ZKS),$0.04433,+0.21%,-0.04%,-6.95%,"$8,749,665","$361,891 (8,164,022 ZKS)","197,440,000 ZKS"
MimbleWimbleCoin (MWC),$0.7976,-0.06%,-1.34%,-16.85%,"$8,679,991",$60 (76 MWC),"10,884,927 MWC"
WaykiChain (WICC),$0.04134,-0.14%,+4.42%,-5.88%,"$8,669,725","$828,381 (20,038,173 WICC)","210,000,000 WICC"
Grid+ (GRID),$0.2207,+0.00%,--,+15.32%,"$8,659,047",--,"39,236,491 GRID"
The Transfer Token (TTT),$0.0744,-0.12%,-16.41%,+13.89%,"$8,656,289",--,"116,355,168 TTT"
HAPI Protocol (HAPI),$12.07,+0.04%,+1.68%,+2.67%,"$8,622,070","$646,940 (53,607 HAPI)","715,017 HAPI"
Rupiah Token (IDRT),$0.00006455,+0.61%,+1.47%,+1.77%,"$8,608,176","$143,056 (2,216,356,706 IDRT)","133,448,927,413 IDRT"
Offshift (XFT),$1.29,-0.47%,-4.30%,+4.48%,"$8,592,284","$199,538 (154,936 XFT)","6,666,464 XFT"
Firebird (PKF),$0.0748,-0.26%,-0.33%,-7.38%,"$8,572,493","$283,400 (3,788,609 PKF)","114,692,138 PKF"
PowerPool (CVP),$0.3133,-0.76%,-1.74%,-7.90%,"$8,544,325","$2,180,809 (6,961,351 CVP)","27,276,013 CVP"
XeniosCoin (XNC),$0.1119,+0.05%,-0.11%,-2.15%,"$8,536,162",--,"76,274,958 XNC"
Quantstamp (QSP),$0.01196,-0.26%,+0.66%,-5.35%,"$8,529,718","$209,672 (17,532,252 QSP)","713,801,947 QSP"
Adappter Token (ADP),$0.007516,-0.02%,-0.79%,-3.11%,"$8,521,439","$1,525,575 (202,984,618 ADP)","1,134,212,955 ADP"
MileVerse (MVC),$0.003354,+0.13%,-0.88%,-7.79%,"$8,443,290","$1,639,092 (488,767,215 MVC)","2,516,721,629 MVC"
King DAG (KDAG),$0.1549,-0.24%,+10.78%,+8.49%,"$8,433,454","$452 (2,916 KDAG)","54,451,545 KDAG"
Push Protocol (PUSH),$0.2584,+0.04%,-0.23%,-6.24%,"$8,408,512","$392,292 (1,518,085 PUSH)","32,584,071 PUSH"
Wrapped NCG (Nine Chronicles Gold) (WNCG),$0.07027,-0.62%,-9.02%,+0.30%,"$8,409,595","$206,656 (2,940,941 WNCG)","119,794,315 WNCG"
Argentine Football Association Fan Token (ARG),$2.24,+1.50%,+5.87%,-63.02%,"$8,359,883","$7,867,372 (3,519,593 ARG)","3,746,912 ARG"
Atomic Wallet Coin (AWC),$0.7895,+4.26%,-5.49%,+1.42%,"$8,365,229","$25,582 (32,402 AWC)","10,603,659 AWC"
DigitalBits (XDB),$0.002738,-0.39%,-3.97%,-8.36%,"$8,382,741","$2,310,329 (843,755,130 XDB)","3,056,622,217 XDB"
Arsenal Fan Token (AFC),$1.78,-0.98%,-1.59%,+1.55%,"$8,358,322","$467,860 (263,429 AFC)","4,711,630 AFC"
Newscrypto (NWC),$0.05529,-0.05%,+0.20%,-4.21%,"$8,317,299","$2,773,806 (50,172,310 NWC)","150,400,834 NWC"
Chainge (CHNG),$0.07477,-2.42%,+12.75%,+14.89%,"$8,215,665","$496,364 (6,638,154 CHNG)","110,046,435 CHNG"
Civilization (CIV),$0.02707,+0.98%,+0.67%,-0.31%,"$8,116,361","$4,740 (175,116 CIV)","300,000,000 CIV"
Receive Access Ecosystem (RAE),$1.15,+0.04%,+0.24%,+7.14%,"$8,096,795","$163,146 (141,666 RAE)","7,032,650 RAE"
Hoge Finance (HOGE),$0.0000199,+0.36%,+2.46%,-12.85%,"$8,007,454","$13,829 (694,865,186 HOGE)","402,276,464,812 HOGE"
Pallapay (PALLA),$0.01064,+0.10%,+1.92%,-6.37%,"$7,901,686","$57,265 (5,382,154 PALLA)","743,546,427 PALLA"
Lossless (LSS),$0.1421,+0.12%,+1.56%,-3.67%,"$7,896,941","$100,854 (709,511 LSS)","55,572,672 LSS"
MagicCraft (MCRT),$0.004123,-0.18%,-3.75%,-18.67%,"$7,876,893","$791,367 (191,918,417 MCRT)","1,908,436,953 MCRT"
BASIC (BASIC),$0.001037,+3.47%,+4.57%,-1.15%,"$7,777,406","$290,037 (279,562,288 BASIC)","7,449,287,997 BASIC"
Bitcoin 2 (BTC2),$0.4301,-0.08%,+24.71%,-3.48%,"$7,719,658",$1 (3 BTC2),"17,954,211 BTC2"
UniCrypt (UNCX),$235.84,+0.04%,-1.82%,-2.51%,"$7,735,503","$144,930 (615 UNCX)","32,710 UNCX"
PRIZM (PZM),$0.00243,+0.57%,+1.28%,-0.16%,"$7,703,109","$53,035 (21,820,780 PZM)","3,169,760,082 PZM"
MUX Protocol (MCB),$4.14,-0.14%,+0.26%,+15.52%,"$7,673,747","$58,399 (14,120 MCB)","1,854,178 MCB"
GoChain (GO),$0.006353,-0.43%,-0.99%,-4.98%,"$7,642,761","$39,394 (6,200,989 GO)","1,203,338,905 GO"
Unisocks (SOCKS),"$25,274.77",-0.26%,-2.12%,-5.28%,"$7,626,941","$1,879 (0 SOCKS)",302 SOCKS
NewYork Exchange (NYE),$1.08,-0.10%,-0.12%,+21.84%,"$7,627,225","$13,789 (12,814 NYE)","7,090,060 NYE"
SHPING (SHPING),$0.004264,-1.28%,-2.75%,-12.30%,"$7,630,143","$132,584 (31,095,751 SHPING)","1,782,433,624 SHPING"
Electric Vehicle Zone (EVZ),$0.01716,+0.85%,+1.25%,-10.58%,"$7,605,431","$349,114 (20,349,272 EVZ)","442,733,056 EVZ"
